text,label
1. Can you find articles on the effectiveness of online learning platforms?,Education
2. I need studies on the impact of socio-economic status on educational achievement,Education
3. Please retrieve research papers on teacher-student relationships and student outcomes,Education
4. What are the best practices for inclusive education in schools?,Education
5. I am looking for literature on the integration of technology in classroom instruction,Education
6. Can you find papers discussing the role of parental involvement in children's education?,Education
7. Please locate studies on the benefits of project-based learning in higher education,Education
8. I need research on assessment strategies for diverse learners,Education
9. Can you retrieve articles about the effects of homework on student performance?,Education
10. What does recent research say about the mental health of teachers?,Education
